139,112,CountingMap (1/4),89
106,111,CountingMap (4/4),87
121,114,CountingMap (3/4),89
144,125,CountingMap (2/4),89
104,127,CountingMap (4/4),89
78,117,CountingMap (2/4),91
103,128,CountingMap (1/4),91
85,130,CountingMap (3/4),91
45,117,CountingMap (2/4),93
106,116,CountingMap (1/4),93
140,119,CountingMap (4/4),91
88,118,CountingMap (3/4),93
140,120,CountingMap (1/4),95
107,119,CountingMap (4/4),93
122,122,CountingMap (3/4),95
143,133,CountingMap (2/4),95
33,125,CountingMap (2/4),97
108,135,CountingMap (4/4),95
58,136,CountingMap (1/4),97
21,126,CountingMap (3/4),97
46,125,CountingMap (2/4),99
106,124,CountingMap (1/4),99
141,127,CountingMap (4/4),97
21,130,CountingMap (3/4),99
140,128,CountingMap (1/4),101
106,127,CountingMap (4/4),99
86,142,CountingMap (3/4),101
144,141,CountingMap (2/4),101
106,128,CountingMap (1/4),103
141,131,CountingMap (4/4),101
88,130,CountingMap (3/4),103
45,145,CountingMap (2/4),103
4,147,CountingMap (4/4),103
46,133,CountingMap (2/4),105
40,136,CountingMap (1/4),105
23,138,CountingMap (3/4),105
81,137,CountingMap (2/4),107
105,148,CountingMap (1/4),107
108,135,CountingMap (4/4),105
87,150,CountingMap (3/4),107
107,136,CountingMap (1/4),109
143,139,CountingMap (4/4),107
89,138,CountingMap (3/4),109
45,153,CountingMap (2/4),109
6,155,CountingMap (4/4),109
47,141,CountingMap (2/4),111
41,144,CountingMap (1/4),111
46,142,CountingMap (3/4),111
43,156,CountingMap (1/4),113
108,143,CountingMap (4/4),111
83,158,CountingMap (3/4),113
141,157,CountingMap (2/4),113
107,144,CountingMap (1/4),115
102,159,CountingMap (4/4),113
89,146,CountingMap (3/4),115
81,149,CountingMap (2/4),115
47,149,CountingMap (2/4),117
41,152,CountingMap (1/4),117
142,151,CountingMap (4/4),115
22,154,CountingMap (3/4),117
102,164,CountingMap (1/4),119
109,151,CountingMap (4/4),117
83,166,CountingMap (3/4),119
142,165,CountingMap (2/4),119
108,152,CountingMap (1/4),121
103,167,CountingMap (4/4),119
88,154,CountingMap (3/4),121
82,157,CountingMap (2/4),121
3,171,CountingMap (4/4),121
48,157,CountingMap (2/4),123
42,160,CountingMap (1/4),123
22,162,CountingMap (3/4),123
82,161,CountingMap (2/4),125
102,172,CountingMap (1/4),125
109,159,CountingMap (4/4),123
83,174,CountingMap (3/4),125
108,160,CountingMap (1/4),127
138,163,CountingMap (4/4),125
38,165,CountingMap (2/4),127
22,166,CountingMap (3/4),127
48,165,CountingMap (2/4),129
41,168,CountingMap (1/4),129
104,179,CountingMap (4/4),127
22,170,CountingMap (3/4),129
83,169,CountingMap (2/4),131
103,180,CountingMap (1/4),131
111,167,CountingMap (4/4),129
85,182,CountingMap (3/4),131
108,168,CountingMap (1/4),133
145,171,CountingMap (4/4),131
44,185,CountingMap (2/4),133
7,187,CountingMap (4/4),133
190,170,CountingMap (3/4),133
49,173,CountingMap (2/4),135
42,176,CountingMap (1/4),135
23,178,CountingMap (3/4),135
83,177,CountingMap (2/4),137
103,188,CountingMap (1/4),137
112,175,CountingMap (4/4),135
85,190,CountingMap (3/4),137
108,176,CountingMap (1/4),139
145,179,CountingMap (4/4),137
44,193,CountingMap (2/4),139
5,195,CountingMap (4/4),139
191,178,CountingMap (3/4),139
51,181,CountingMap (2/4),141
42,184,CountingMap (1/4),141
38,196,CountingMap (1/4),143
43,182,CountingMap (3/4),141
45,197,CountingMap (2/4),143
112,183,CountingMap (4/4),141
86,198,CountingMap (3/4),143
109,184,CountingMap (1/4),145
145,187,CountingMap (4/4),143
44,201,CountingMap (2/4),145
192,186,CountingMap (3/4),145
50,189,CountingMap (2/4),147
41,192,CountingMap (1/4),147
106,203,CountingMap (4/4),145
24,194,CountingMap (3/4),147
84,193,CountingMap (2/4),149
103,204,CountingMap (1/4),149
112,191,CountingMap (4/4),147
86,206,CountingMap (3/4),149
109,192,CountingMap (1/4),151
146,195,CountingMap (4/4),149
45,209,CountingMap (2/4),151
192,194,CountingMap (3/4),151
52,197,CountingMap (2/4),153
42,200,CountingMap (1/4),153
107,211,CountingMap (4/4),151
24,202,CountingMap (3/4),153
84,201,CountingMap (2/4),155
103,212,CountingMap (1/4),155
113,199,CountingMap (4/4),153
86,214,CountingMap (3/4),155
109,200,CountingMap (1/4),157
22,205,CountingMap (2/4),157
123,203,CountingMap (4/4),155
